29563;29556;29541;29543;29545;29538;29534;29550;29543;29547;29547;29567;29552;29552;29545;29545;29541;29543;29536;29550;29547;29532;29523;29545;29521;29530;29525;29530;29530;29521;29545;29545;29547;29552;29534;29541;29534;29538;29538;29530;29541;29538;29543;29558;29541;29543;29534;29556;29552;29554;29554;29554;29536;29530;29530;29552;29543;29536;29567;29552;29554;29574;29563;29581;29578;29587;29607;29581;29596;29601;29592;29627;29614;29601;29605;29598;29603;29572;29578;29561;29576;29612;29590;29609;29623;29684;29769;30016;30348;30529;30604;30656;30688;30722;30737;30733;30759;30714;30694;30710;30710;30731;30743;30737;30753;30743;30771;30747;30747;30739;30700;30670;30666;30654;30650;30662;30664;30664;30726;30714;30741;30757;30779;30773;30741;30702;30700;30646;30646;30620;30578;30533;30458;30337;30213;30134;29948;29741;29680;29649;29651;29660;29678;29693;29702;29728;29743;29778;29793;29810;29864;29864;29899;29907;29922;29941;29924;29890;29864;29843
29561;29547;29554;29558;29552;29565;29554;29543;29543;29554;29538;29565;29554;29556;29567;29550;29545;29563;29558;29556;29550;29536;29550;29538;29536;29530;29530;29527;29514;29527;29545;29527;29538;29525;29527;29552;29521;29538;29538;29541;29534;29556;29538;29556;29552;29554;29550;29558;29563;29558;29552;29561;29552;29565;29556;29561;29538;29538;29561;29558;29563;29570;29574;29572;29576;29583;29594;29583;29594;29605;29601;29618;29623;29612;29609;29587;29601;29590;29585;29567;29590;29590;29607;29621;29625;29680;29828;30099;30405;30554;30622;30690;30714;30753;30747;30747;30757;30714;30718;30716;30694;30729;30739;30741;30728;30722;30714;30704;30708;30696;30686;30652;30640;30636;30630;30632;30638;30632;30682;30708;30733;30753;30779;30763;30747;30731;30686;30666;30638;30630;30592;30560;30507;30364;30280;30166;30009;29793;29688;29645;29647;29658;29649;29658;29678;29678;29682;29708;29706;29737;29756;29758;29774;29778;29778;29774;29761;29774;29739;29741
29574;29550;29552;29572;29563;29558;29554;29561;29543;29541;29565;29572;29570;29550;29554;29578;29572;29556;29576;29567;29570;29554;29570;29552;29543;29541;29512;29523;29525;29505;29514;29521;29512;29523;29514;29523;29523;29521;29525;29532;29536;29550;29536;29530;29558;29541;29541;29554;29547;29550;29552;29565;29563;29558;29554;29561;29543;29556;29590;29561;29567;29572;29590;29581;29567;29583;29594;29578;29601;29594;29601;29616;29612;29623;29607;29618;29603;29578;29594;29596;29585;29614;29612;29609;29629;29704;29866;30161;30446;30574;30652;30710;30720;30757;30767;30749;30743;30716;30726;30729;30720;30737;30749;30724;30696;30688;30684;30664;30674;30692;30666;30650;30636;30616;30610;30612;30606;30602;30632;30648;30706;30737;30755;30761;30745;30755;30728;30692;30634;30612;30592;30550;30536;30444;30325;30191;30065;29825;29713;29651;29651;29645;29636;29636;29643;29649;29656;29667;29675;29682;29697;29693;29695;29713;29691;29691;29702;29691;29678;29684
29570;29561;29547;29561;29567;29572;29561;29543;29558;29547;29567;29556;29565;29558;29563;29570;29563;29574;29572;29570;29578;29556;29565;29558;29550;29543;29534;29516;29501;29499;29512;29505;29496;29503;29503;29519;29507;29512;29507;29527;29538;29530;29541;29545;29534;29532;29519;29543;29550;29550;29550;29558;29561;29556;29552;29552;29554;29558;29572;29565;29572;29567;29570;29563;29576;29576;29583;29570;29590;29583;29592;29605;29612;29603;29598;29609;29592;29587;29605;29581;29605;29612;29601;29612;29638;29710;29888;30224;30481;30588;30662;30720;30745;30753;30747;30759;30763;30733;30741;30743;30733;30722;30726;30704;30666;30662;30672;30688;30696;30704;30692;30674;30650;30628;30634;30618;30598;30594;30608;30628;30658;30694;30737;30739;30741;30749;30731;30698;30632;30618;30576;30556;30552;30503;30384;30232;30105;29879;29732;29645;29651;29629;29643;29627;29634;29643;29612;29651;29638;29636;29667;29649;29653;29658;29669;29656;29671;29645;29640;29651
29574;29558;29570;29554;29570;29572;29558;29567;29552;29558;29567;29578;29570;29563;29583;29576;29587;29570;29570;29585;29581;29556;29567;29558;29561;29545;29536;29536;29510;29505;29510;29512;29501;29494;29483;29499;29503;29496;29505;29527;29530;29525;29527;29534;29530;29547;29538;29536;29552;29547;29534;29558;29556;29556;29543;29552;29554;29563;29565;29578;29572;29565;29583;29574;29581;29583;29601;29585;29578;29576;29592;29594;29601;29596;29596;29607;29594;29567;29594;29601;29607;29596;29614;29625;29636;29704;29952;30276;30477;30582;30636;30702;30735;30755;30759;30761;30759;30739;30751;30757;30741;30741;30747;30724;30718;30706;30722;30737;30733;30716;30722;30692;30672;30650;30650;30622;30620;30596;30628;30630;30640;30698;30722;30735;30739;30729;30739;30700;30648;30626;30586;30568;30564;30487;30399;30276;30126;29903;29728;29651;29647;29634;29647;29627;29636;29627;29616;29614;29621;29632;29623;29618;29625;29614;29621;29632;29638;29629;29629;29638
29583;29545;29558;29565;29572;29576;29576;29565;29565;29576;29552;29581;29563;29574;29563;29583;29561;29572;29574;29578;29585;29572;29581;29574;29550;29552;29541;29534;29525;29514;29532;29507;29505;29487;29490;29510;29514;29485;29490;29510;29538;29516;29536;29543;29525;29534;29536;29525;29525;29545;29541;29552;29543;29543;29543;29538;29556;29576;29578;29567;29585;29574;29574;29570;29572;29583;29581;29590;29587;29585;29592;29598;29598;29598;29596;29585;29585;29570;29594;29590;29614;29607;29614;29627;29643;29750;30050;30354;30475;30521;30582;30668;30733;30753;30767;30757;30789;30755;30763;30779;30757;30743;30781;30783;30775;30759;30771;30771;30747;30714;30718;30698;30690;30664;30644;30630;30630;30626;30632;30626;30638;30644;30720;30726;30731;30739;30741;30714;30654;30644;30598;30576;30564;30542;30450;30311;30174;29937;29752;29643;29623;29634;29623;29645;29627;29623;29612;29603;29585;29607;29621;29609;29618;29618;29607;29614;29616;29612;29612;29609
29594;29547;29572;29567;29578;29576;29570;29558;29565;29563;29561;29576;29565;29567;29590;29592;29576;29592;29594;29581;29581;29567;29570;29556;29552;29552;29547;29532;29536;29530;29523;29516;29503;29494;29494;29505;29494;29490;29492;29485;29510;29519;29519;29521;29525;29523;29536;29527;29532;29550;29543;29541;29530;29547;29534;29556;29558;29570;29565;29570;29578;29572;29578;29572;29578;29576;29587;29578;29583;29585;29596;29587;29592;29596;29592;29592;29585;29578;29578;29598;29585;29585;29596;29614;29669;29817;30184;30440;30531;30576;30622;30682;30706;30745;30765;30765;30779;30781;30783;30785;30763;30775;30816;30822;30804;30808;30812;30783;30743;30698;30696;30688;30698;30674;30662;30644;30630;30658;30662;30656;30650;30672;30702;30718;30716;30708;30731;30718;30694;30652;30592;30550;30580;30560;30503;30378;30219;29963;29763;29649;29656;29638;29625;29609;29607;29618;29603;29590;29592;29583;29612;29598;29594;29618;29598;29598;29605;29601;29605;29601
29563;29561;29583;29581;29572;29592;29570;29578;29576;29578;29561;29574;29561;29570;29583;29576;29576;29576;29576;29596;29581;29558;29561;29567;29545;29561;29552;29541;29543;29521;29527;29510;29519;29514;29514;29514;29510;29499;29516;29512;29492;29501;29490;29512;29499;29516;29510;29527;29516;29530;29534;29545;29532;29527;29523;29550;29554;29563;29574;29565;29570;29581;29585;29585;29581;29574;29592;29590;29581;29594;29596;29598;29603;29594;29585;29590;29592;29578;29601;29581;29578;29576;29585;29603;29662;29884;30309;30527;30636;30664;30706;30741;30751;30759;30767;30779;30800;30783;30796;30798;30800;30808;30826;30852;30854;30852;30832;30794;30745;30706;30702;30674;30678;30672;30680;30672;30660;30662;30684;30676;30678;30694;30694;30706;30700;30700;30706;30712;30710;30652;30592;30564;30572;30562;30527;30430;30269;29977;29774;29678;29638;29625;29627;29605;29598;29612;29594;29587;29587;29596;29605;29603;29585;29605;29587;29594;29590;29605;29598;29605
29576;29567;29576;29583;29594;29572;29567;29587;29585;29592;29563;29578;29574;29576;29587;29590;29585;29592;29607;29587;29578;29581;29556;29552;29538;29543;29538;29554;29530;29519;29525;29514;29507;29516;29525;29525;29516;29505;29503;29494;29510;29499;29492;29494;29499;29507;29499;29492;29510;29530;29532;29530;29527;29534;29527;29545;29545;29545;29563;29570;29558;29565;29594;29578;29578;29585;29594;29583;29596;29592;29605;29596;29609;29596;29581;29587;29581;29583;29583;29585;29598;29601;29605;29612;29691;29973;30378;30570;30670;30726;30729;30753;30779;30798;30791;30796;30791;30775;30796;30808;30822;30828;30863;30867;30865;30865;30846;30816;30769;30733;30702;30708;30692;30682;30656;30668;30680;30694;30710;30696;30712;30710;30716;30696;30674;30678;30694;30694;30702;30642;30576;30594;30612;30592;30566;30491;30327;30009;29776;29671;29651;29638;29609;29625;29587;29605;29574;29583;29592;29598;29587;29592;29585;29601;29598;29601;29572;29594;29592;29603
29587;29578;29578;29592;29572;29592;29590;29587;29596;29587;29594;29570;29576;29574;29592;29596;29587;29590;29583;29587;29576;29578;29567;29565;29550;29558;29545;29550;29532;29534;29532;29536;29512;29516;29536;29534;29525;29505;29510;29527;29512;29514;29485;29492;29492;29494;29485;29501;29496;29505;29519;29532;29534;29521;29543;29536;29545;29554;29574;29565;29567;29558;29574;29587;29574;29590;29570;29598;29576;29590;29607;29609;29618;29594;29594;29574;29594;29592;29592;29601;29598;29585;29612;29634;29695;30022;30426;30578;30664;30714;30749;30763;30773;30816;30812;30802;30800;30777;30787;30806;30824;30834;30859;30887;30889;30871;30883;30818;30771;30722;30700;30698;30698;30710;30688;30720;30706;30716;30718;30712;30720;30710;30714;30678;30654;30648;30662;30668;30662;30628;30578;30602;30618;30626;30606;30519;30370;30062;29778;29651;29645;29616;29598;29603;29601;29565;29578;29581;29572;29601;29601;29578;29581;29590;29594;29592;29585;29612;29605;29612
